key,code,registration_time,due_date,quantity,tax,link,key:sponsorship,draft_mode
invoice-01,IN-0000-0000,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 0.0,https://example.com,sponsorship-01,true
invoice-02,IN-1000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-02,true
invoice-03,IN-2000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-03,true
invoice-04,IN-3000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-04,true
invoice-05,IN-4000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-05,true
invoice-06,IN-5000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-06,true
invoice-07,IN-6000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 99999999.99,EUR 20.0,https://example.com,sponsorship-07,true
invoice-08,IN-7000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-08,true
invoice-09,IN-8000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-09,true
invoice-10,IN-9000-0001,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-10,true
invoice-11,IN-1000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-11,true
invoice-12,IN-2000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-12,true
invoice-13,IN-3000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-13,true
invoice-14,IN-4000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-14,true
invoice-15,IN-5000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-15,true
invoice-16,IN-6000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-16,true
invoice-17,IN-7000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-17,true
invoice-18,IN-8000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-18,true
invoice-19,IN-9000-0002,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-19,true
invoice-20,IN-1000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-20,true
invoice-21,IN-2000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-21,true
invoice-22,IN-3000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-22,true
invoice-23,IN-4000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-23,true
invoice-24,IN-5000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-24,true
invoice-25,IN-6000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,https://example.com,sponsorship-01,true
invoice-26,IN-7000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,,sponsorship-02,true
invoice-27,IN-8000-0003,2021/12/24 06:00,2022/12/24 06:00,GBP 120.0,EUR 20.0,,sponsorship-03,true
invoice-28,IN-9000-0003,2021/12/24 06:00,2022/12/24 06:00,EUR 120.0,EUR 20.0,,sponsorship-04,true
